script	linhas	cobertura	achados	sha256
packages/ltx-core/src/ltx_core/model/audio_vae/resnet.py	176	Triagem estática/textual		d2517b2e0f38d5308817a405f15d9e8849e60a96ff138baed5e1de03f38af781
packages/ltx-core/src/ltx_core/model/audio_vae/upsample.py	106	Triagem estática/textual		68571fc8d5378489ec63c391d133cb01da2dbc436339b5b24ad016b28dc0ab8b
packages/ltx-core/src/ltx_core/model/audio_vae/vocoder.py	575	Triagem estática/textual		ce5126e0931c8b52d3424692d8ab14ceffe04088c37d72f692cdda1e5b41c72e
packages/ltx-core/src/ltx_core/model/common/__init__.py	9	Triagem estática/textual		30b5d1dd09346856df94398631d1eb5dfe081f76fe2c6ddf18bfa1bdeb32a6e3
packages/ltx-core/src/ltx_core/model/common/normalization.py	59	Triagem estática/textual		671cbc20efae7aa5719ead750ace8025d6f5971f2348f362283fe09131b3e092
packages/ltx-core/src/ltx_core/model/model_protocol.py	10	Triagem estática/textual		c6e980b800ec15b73a63770bd0fd3d43798c6bba52b5b8544155404447f10e50
packages/ltx-core/src/ltx_core/model/transformer/__init__.py	18	Triagem estática/textual		cac03926810d1f4e4474da2e5c901ab6958f4782a14f5594da7862dde6ac363b
packages/ltx-core/src/ltx_core/model/transformer/adaln.py	45	Triagem estática/textual		6a7b65f28854f504e45eb21d48fcbd4da09e3f6728dec9b324d7f5ebb1d1bf1e
packages/ltx-core/src/ltx_core/model/transformer/attention.py	260	Triagem estática/textual		f7a3ea59d354f500232e29ba396138464746eff017098f3f9149727c5c6f717f
packages/ltx-core/src/ltx_core/model/transformer/feed_forward.py	17	Triagem estática/textual		10828492ce74ce27f0adf36f7ecc9b34a3e89b9586d6784401eb7e91a9321f70
packages/ltx-core/src/ltx_core/model/transformer/gelu_approx.py	10	Triagem estática/textual		08c2a8062d4edfcc5debc19f73211702edd93bbd07c53a0e36ec32134444735d
packages/ltx-core/src/ltx_core/model/transformer/modality.py	40	Triagem estática/textual		fab30a96b7953a95a3626804525adae6f168fc817f202e86eb2ab0f5be905a4d
packages/ltx-core/src/ltx_core/model/transformer/model.py	508	Triagem estática/textual		6afb83209f0108d02fc4f36721efd8f0a4855c669249091be21da4cd54f8c1d6
packages/ltx-core/src/ltx_core/model/transformer/model_configurator.py	158	Triagem estática/textual		48e11f31e7ef74d5f28c8dab550835b8ce431925dc93db21c9963c1f292e83d4
